0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
4880.390035067527,4401.592710582862,1343.9726786026729,2538.8132813980424,2847.345645506429,4465.524365907675,4306.068668117102,1701.0202045881988,2562.511981175481,2701.8118572355143,31863.060056611714,12017.604413526762,7412.285600734055,6315.785634690867,6326.3630402226345,1228.2182454547606,1726.0685888392247,1486.3534121608343,1919.381437535168,1602.2083007526792,9843.38902728837,4155.52524514834,2761.389037717177,2813.685743223192,3592.3763402272684
3290.7589553416024,1805.0426943171135,1417.3710481073451,2247.882325194943,3755.30366335031,4005.0879602558416,2113.505419801788,1568.2241007358575,2368.7678730287616,3853.765588145724,23549.384582504787,11991.994501363486,4897.456971541321,4717.377936624796,4393.8642304495725,919.4969170807047,840.3688158801425,838.4509423030609,1331.6120579308129,1306.0062944555177,7258.715228513818,3893.908933926611,2077.140734546022,2048.8571613210693,3615.146966618929
4323.440305746155,2138.619841920213,1466.7971633478899,2312.9113494045337,2812.2754909449045,6259.0150526484495,2189.3406634345874,1556.4553380967993,2559.087818670114,3224.841955639873,22257.94716287977,6657.196387979058,3452.034364617199,3100.867224654204,5387.393329662549,1201.598361168241,1055.5855455779472,904.9370649624227,1079.9642800241274,1507.2773426832553,6582.7271925634095,3664.7102685861455,2990.560867724641,2619.755954407542,3527.4069967287955
2385.615508261703,2158.018522021663,1595.1979501566623,2239.197948907691,2741.5950028239768,2613.9841841014813,2195.7516270998603,1474.4062699431006,2400.0233564398295,2950.76717274669,15073.60132873918,5934.771657126183,3289.33815197075,3356.428250723154,3796.2919108501924,927.6963644613477,1309.6472825512546,1248.2974956277196,1531.970838982678,1370.8556521399937,4365.2849244904,2583.1914344649445,1854.0079543582885,2387.890393264202,3003.1375144286844
4405.612961943728,3482.9610310403436,2134.3056687459125,1823.5357742698534,3206.6844600812246,4945.681905107938,3414.7733337978434,1938.5447807055866,2003.550868067549,3364.2161618099503,18477.414309493615,6019.366331166865,3709.4266041115766,3043.1883444461914,4916.845684824301,1803.1279213537664,1130.717120625561,1056.6467635429774,1159.8053553656573,1336.3650357615109,7120.414529008468,2502.9196326036554,2087.528290472013,1659.3031742480098,2708.7032093223224
3025.8314659652233,2588.9815537182685,1678.4374821703213,3467.541009041291,6334.070962404307,4467.768497599968,2002.062939633878,1412.9238143496725,4066.757538929497,6804.858757916452,27178.24348156064,10375.364549631171,6590.85125060407,5963.451372888279,9022.724436216948,708.0132692687401,1178.5475769711973,1136.6552629774371,1608.896038977611,2058.2344346343793,7708.122845034034,3975.2161077541105,2847.3191349041513,3646.669093681424,7488.634750863347
4593.8614324707005,3011.868700122369,1543.3257673049218,2800.8657345074184,4050.700294181829,3639.4229029372436,3355.724154232538,2227.2263819358523,3316.376327937797,4267.443456236075,30175.406857838057,14068.328218595008,6822.114062441078,6643.941743010722,5546.975161993975,1101.2916659726745,1116.5390613795712,910.8171343259719,1387.957604380913,1439.2444568797625,9852.949173715067,4733.383755085124,2759.9664180198192,3331.3778006083608,4204.753115041947
4536.791658492506,4052.126325314425,1946.9483302727535,2402.251405188651,3364.197588139739,3943.709757006506,4061.6244483221176,2171.804994973707,2925.443253575685,3818.708926277119,18594.967471569023,8408.330392388098,3826.269002342111,4151.002173905108,5559.8271464523,959.1048749135836,1437.6189168538997,712.557773986437,1249.5757101722086,1454.3627389683897,7527.285939942561,3810.2029264868934,2045.6433189100526,2478.7335024432914,3875.920966662676
3179.219796290039,2951.5854723906095,1329.7288032935467,2252.44672787818,2774.3427815783675,6509.359613659636,2110.614694010833,1668.4138481156403,2519.0555918269793,3010.9319051851444,25180.310449288718,10802.321984185115,4536.371494946752,4588.223016658575,4488.60136481878,974.1988292862659,1344.2306096833042,1060.5808884203589,1048.8491143276092,1166.9721671441725,6693.170652433538,3849.786832008072,1701.8124641386967,3140.609003087787,3497.543145228997
4134.698117588823,3105.8132357831673,2036.2750655486677,2838.0532859879045,4631.225616948535,3553.4911263520307,2957.4668313183074,1840.5906608981948,3096.644366372265,4883.841387082447,21977.967830009406,8570.501994439479,4018.859182109205,3889.785066654101,6308.300915019655,1162.4514067285997,826.472598197323,944.6997771408945,1219.1657099937383,1876.7104122963603,7795.504581711759,3674.6176070738834,2500.854717561551,3076.356937090178,5454.079635590472
